What ,Provided By,Provided To,Provided How,Why,When,Used In,Notes,
"Personal Information (name, s/n, rank, unit affiliation, birth date, sex, contact information, etc)",ACFP Staff,RCA Stds O,"Via email, fax, snail mail",To know who a given file is for and how to contact them,Usually at the start and end of every flying season,National,,
"Pilot Training Record information (total time on types, exam status, apc status, licensing / qualification / currency information)",ACFP Staff,RCA Stds O,"Via email, fax, snail mail","To know the current status of a flying member's qualifications, currencies, and general fit to flyness from a documentation standpoint",Before participating in any ACFP flying operations,National,"A PTR can exist even for non-flying staff (i.e. staff trained on auto launch / winch launch methods, cadets volunteering with a site) - all data must be held for minimum of 1 year, PTR should also exist for non-regular flying staff that still fly within the scope of the ACFP (civilian power famil flying)",
"Member administrative information (DND404, ATV addition to 404, Ramp DDC, AVOP, First Aid)",ACFP Staff,"CFS OIC, RCSU",Via email,To know the current administrative status of the member,Before participating in any ACFP flying operations,National,,
Pilot Log Book Entries,Daily Flying Logs,Pilot,Entered by the pilot into their own personal logbooks,To keep track of a given pilot's flying experience,Typically at the end of every flying day,National,,
Soaring Competency Training Records,Pilot,RCA Stds O,Scan of certification in logbook,"To verify that the pilot is qualified to perform soaring operations of a given type (ridge, wave, thermalling) within the context of the ACGP","After proving competency and before acting as PIC during ridge, wave, or thermalling soaring operations",Pacific,,
"Emergency Contact(s) Notification form (PEN FORM, CF 742 & DND 2587)",ACFP Staff,Site attending,Paper form,To have the member's contact & NoK contact information available in case of an emergency where they have to be contacted regarding the member,"Ideally before showing up to a flying operation, must be revalidated annually",National,,
Authority to Participate form,CFS Staff Member,CFS,Completed & signed paper form,To verify that a given individual is authorized to participate in the ACFP,Before an individual can participate in any ACFP activities,National,"Order 7002-7, all cadets & CAF members shall have written authority to participate in ACFP operations from the HQ / RCSU CO",
Criminal Record Check & Vulnerable Sector Screening,ACFP Staff,"CFS, RCSU","Paper copy, emailed, scanned, snail mail",To verify that a member that will be interacting with cadets in a supervisory role is safe to do so,Prior to members interacting with cadets,National,Not currently required for civilian pilots operating power famil flights,
Flight Authorization Acknowledgement of Accountability,Members designated as a Designated Flight Authorization Officer,Member's file & RCA Ops,"Paper document signed & dated, copy in file copy sent to RCSU (digital copy permitted)",To certify that the member is an authorized DFAO,Before member can use the DFAO role to authorize flights,National,Order 7002-7,
Annual Open & Closed Book exam results,ACFP Staff,RCA Stds O,"Scanned or paper copy, placed on file with the pilot's PTR",To certify that the annual recurrent training has been completed and the core knowledge has been assessed,Annually,National,,
Course Report,Course Supervisor,Pilot,"Paper copy, emailed, etc","For inclusion in the pilot's PTR when applicable (GPS, PPS, etc)",After completion of a course,Pacific,,
Results of Independent Reviews (IR),Course Supervisor,Pilot,"Paper copy, emailed, etc","For inclusion in the pilot's PTR when applicable (GPS, PPS, etc)",After completion of an IR,Pacific,Other regions may hold onto this on file at the CFTC,
